epoch,accuracy,loss,val_accuracy,val_loss
0,0.33268311619758606,1.7647839784622192,0.33964893221855164,2.0071022510528564
1,0.4371799826622009,1.503061056137085,0.4329896867275238,1.5320725440979004
2,0.4803371727466583,1.3767496347427368,0.48551127314567566,1.38935124874115
3,0.504789412021637,1.3173699378967285,0.5043187737464905,1.336271047592163
4,0.5255146622657776,1.266779899597168,0.4752019941806793,1.4545714855194092
5,0.536347508430481,1.2374924421310425,0.4866257905960083,1.4971117973327637
6,0.5432791113853455,1.2165839672088623,0.5277236104011536,1.252860426902771
7,0.5527883172035217,1.1895771026611328,0.5013931393623352,1.3768163919448853
8,0.5619491934776306,1.1701340675354004,0.5475062727928162,1.224927544593811
9,0.5667908787727356,1.1580657958984375,0.5175536274909973,1.2855335474014282
10,0.573861837387085,1.1367566585540771,0.5739760398864746,1.1401137113571167
11,0.5787732005119324,1.1287919282913208,0.5204792618751526,1.2994349002838135
12,0.5819429159164429,1.1186575889587402,0.5771802663803101,1.118151307106018
13,0.5847295522689819,1.112385630607605,0.5802451968193054,1.128572702407837
14,0.5911038517951965,1.0955911874771118,0.5866536498069763,1.0983182191848755
15,0.5953185558319092,1.0893617868423462,0.5810810923576355,1.1445093154907227
16,0.5966073274612427,1.083394169807434,0.5777375102043152,1.1464613676071167
17,0.5976871252059937,1.0815824270248413,0.5971022844314575,1.0765154361724854
18,0.6010658740997314,1.0651013851165771,0.6043466329574585,1.0619059801101685
19,0.6043052673339844,1.0657742023468018,0.5969629287719727,1.1012177467346191
20,0.6020063161849976,1.0574051141738892,0.5813596844673157,1.1505366563796997
21,0.6105750799179077,1.046700358390808,0.5898578763008118,1.1259912252426147
22,0.6094256043434143,1.0439567565917969,0.5640847086906433,1.2138832807540894
23,0.6113414168357849,1.03038489818573,0.583588719367981,1.1286919116973877
24,0.6128740310668945,1.03647780418396,0.6057397723197937,1.0635539293289185
25,0.6156257390975952,1.0287256240844727,0.6049038767814636,1.072922945022583
26,0.6213382482528687,1.0208179950714111,0.5769016146659851,1.1461808681488037
27,0.6207809448242188,1.0141096115112305,0.5984954237937927,1.1005789041519165
28,0.6150336265563965,1.0217732191085815,0.6121482253074646,1.0463262796401978
29,0.6202932596206665,1.0118038654327393,0.6023961901664734,1.0763474702835083
30,0.6264237761497498,1.0080647468566895,0.6057397723197937,1.0752527713775635
31,0.6239855289459229,1.002450942993164,0.6057397723197937,1.0557693243026733
32,0.6257619857788086,1.0031150579452515,0.6015602946281433,1.0714510679244995
33,0.6256923079490662,0.9964540004730225,0.6064363121986389,1.0704621076583862
34,0.62544846534729,0.993625283241272,0.6181387305259705,1.0593388080596924
35,0.6291755437850952,0.9888395667076111,0.608386754989624,1.060725212097168
36,0.6334250569343567,0.984089732170105,0.6099191904067993,1.056740403175354
37,0.6345048546791077,0.982998788356781,0.6001671552658081,1.0839632749557495
38,0.6357936263084412,0.98307204246521,0.6064363121986389,1.0593409538269043
39,0.6338430643081665,0.9808846712112427,0.6136807203292847,1.043359637260437
40,0.6361071467399597,0.9781069755554199,0.6095012426376343,1.0787135362625122
41,0.6348879933357239,0.9749728441238403,0.622875452041626,1.0369335412979126
42,0.6338778734207153,0.9724259376525879,0.5883254408836365,1.120521068572998
43,0.6398690342903137,0.9690645337104797,0.6047645807266235,1.1099560260772705
